Data,Hora,Equipamento,Usuário Reserva
2017-07-26,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2017-07-26,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2017-07-26,08:00 ~ 10:00,FLUORESCÊNCIA RX,xxxxx
2017-07-26,08:00 ~ 10:00,MEV INSPECT EBSD,xxxxx
2017-07-26,12:00 ~ 14:00,MEV MAGELLAN,xxxxx
2017-07-26,14:00 ~ 16:00,MET TECNAI G2F20,xxxxx
2017-07-26,14:00 ~ 16:00,MET CM120,xxxxx
2017-07-26,16:00 ~ 18:00,MET CM120,xxxxx
2017-07-26,12:00 ~ 14:00,MEV XL30 FEG,xxxxx
2017-07-26,18:00 ~ 20:00,MEV XL30 FEG,xxxxx
2017-07-26,18:00 ~ 20:00,MEV MAGELLAN,xxxxx
2017-07-27,08:00 ~ 10:00,MET TECNAI G2F20,xxxxx
2017-07-27,10:00 ~ 12:00,MET TECNAI G2F20,xxxxx
2017-07-27,14:00 ~ 16:00,MEV MAGELLAN,xxxxx
2017-07-27,16:00 ~ 18:00,MEV MAGELLAN,xxxxx
2017-07-27,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2017-07-27,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2017-07-27,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2017-07-27,10:00 ~ 12:00,FLUORESCÊNCIA RX,xxxxx
2017-07-27,12:00 ~ 14:00,MEV MAGELLAN,xxxxx
2017-07-27,08:00 ~ 10:00,MEV INSPECT EBSD,xxxxx
2017-07-27,12:00 ~ 14:00,MEV XL30 FEG,xxxxx
2017-07-27,18:00 ~ 20:00,MEV XL30 FEG,xxxxx
2017-07-28,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2017-07-28,08:00 ~ 10:00,MEV MAGELLAN,xxxxx
2017-07-28,10:00 ~ 12:00,MEV MAGELLAN,xxxxx
2017-07-28,08:00 ~ 10:00,MET TECNAI G2F20,xxxxx
2017-07-28,12:00 ~ 14:00,MEV MAGELLAN,xxxxx
2017-07-28,14:00 ~ 16:00,MET TECNAI G2F20,xxxxx
2017-07-28,16:00 ~ 18:00,MET TECNAI G2F20,xxxxx
2017-07-28,08:00 ~ 10:00,MEV INSPECT EBSD,xxxxx
2017-07-28,12:00 ~ 14:00,MEV INSPECT EBSD,xxxxx
2017-07-28,12:00 ~ 14:00,MEV XL30 FEG,xxxxx
2017-07-28,18:00 ~ 20:00,MEV XL30 FEG,xxxxx
2017-07-28,10:00 ~ 12:00,MET TECNAI G2F20,xxxxx
2017-07-31,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2017-07-31,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2017-07-31,12:00 ~ 14:00,MEV XL30 FEG,xxxxx
2017-07-31,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2017-07-31,08:00 ~ 10:00,MEV INSPECT EBSD,xxxxx
2017-07-31,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2017-07-31,14:00 ~ 16:00,MET TECNAI G2F20,xxxxx
2017-07-31,16:00 ~ 18:00,MET TECNAI G2F20,xxxxx
2017-07-31,10:00 ~ 12:00,MET TECNAI G2F20,xxxxx
2017-07-31,16:00 ~ 18:00,MEV XL30 FEG,xxxxx
2017-08-01,08:00 ~ 10:00,MET TECNAI G2F20,xxxxx
2017-08-01,10:00 ~ 12:00,MET TECNAI G2F20,xxxxx
2017-08-01,08:00 ~ 10:00,MEV MAGELLAN,xxxxx
2017-08-01,10:00 ~ 12:00,MEV MAGELLAN,xxxxx
2017-08-01,12:00 ~ 14:00,MEV XL30 FEG,xxxxx
2017-08-01,14:00 ~ 16:00,MET TECNAI G2F20,xxxxx
2017-08-01,16:00 ~ 18:00,MET TECNAI G2F20,xxxxx
2017-08-01,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2017-08-01,14:00 ~ 16:00,MICROSCOPIO OPTICO CONFOCAL OLYMPUS,xxxxx
2017-08-01,16:00 ~ 18:00,MICROSCOPIO OPTICO CONFOCAL OLYMPUS,xxxxx
2017-08-01,08:00 ~ 10:00,MEV INSPECT EBSD,xxxxx
2017-08-01,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2017-08-01,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2017-08-01,16:00 ~ 18:00,MEV XL30 FEG,xxxxx
2017-08-01,08:00 ~ 10:00,MEV XL30 FEG,xxxxx
2017-08-01,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2017-08-02,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2017-08-02,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2017-08-02,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2017-08-02,16:00 ~ 18:00,MEV XL30 FEG,xxxxx
2017-08-02,12:00 ~ 14:00,MEV XL30 FEG,xxxxx
2017-08-02,08:00 ~ 10:00,MEV INSPECT EBSD,xxxxx
2017-08-02,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2017-08-02,08:00 ~ 10:00,MET TECNAI G2F20,xxxxx
2017-08-02,08:00 ~ 10:00,MEV XL30 FEG,xxxxx
2017-08-02,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2017-08-02,10:00 ~ 12:00,MET TECNAI G2F20,xxxxx
2017-08-02,12:00 ~ 14:00,MEV INSPECT EBSD,xxxxx
2017-08-03,14:00 ~ 16:00,MEV MAGELLAN,xxxxx
2017-08-03,16:00 ~ 18:00,MEV MAGELLAN,xxxxx
2017-08-03,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2017-08-03,12:00 ~ 14:00,MEV XL30 FEG,xxxxx
2017-08-03,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2017-08-03,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2017-08-03,08:00 ~ 10:00,MEV INSPECT EBSD,xxxxx
2017-08-03,16:00 ~ 18:00,MET CM120,xxxxx
2017-08-04,14:00 ~ 16:00,MEV MAGELLAN,xxxxx
2017-08-04,16:00 ~ 18:00,MEV MAGELLAN,xxxxx
2017-08-04,08:00 ~ 10:00,MEV MAGELLAN,xxxxx
2017-08-04,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2017-08-04,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2017-08-04,08:00 ~ 10:00,MEV INSPECT EBSD,xxxxx
2017-08-04,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2017-08-04,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2017-08-04,16:00 ~ 18:00,MEV XL30 FEG,xxxxx
2017-08-04,12:00 ~ 14:00,MEV INSPECT EBSD,xxxxx
2017-08-07,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2017-08-07,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2017-08-07,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2017-08-07,14:00 ~ 16:00,MET TECNAI G2F20,xxxxx
2017-08-07,16:00 ~ 18:00,MET TECNAI G2F20,xxxxx
2017-08-07,10:00 ~ 12:00,MICROSCOPIO OPTICO CONFOCAL OLYMPUS,xxxxx
2017-08-07,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2017-08-07,16:00 ~ 18:00,MEV XL30 FEG,xxxxx
2017-08-08,08:00 ~ 10:00,MEV MAGELLAN,xxxxx
2017-08-08,16:00 ~ 18:00,MET TECNAI G2F20,xxxxx
2017-08-08,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2017-08-08,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2017-08-08,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2017-08-08,14:00 ~ 16:00,MET TECNAI G2F20,xxxxx
2017-08-08,16:00 ~ 18:00,MICROSCOPIO OPTICO CONFOCAL OLYMPUS,xxxxx
2017-08-09,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2017-08-09,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2017-08-09,16:00 ~ 18:00,MET TECNAI G2F20,xxxxx
2017-08-09,14:00 ~ 16:00,MET TECNAI G2F20,xxxxx
2017-08-09,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2017-08-09,16:00 ~ 18:00,MEV XL30 FEG,xxxxx
2017-08-09,10:00 ~ 12:00,MICROSCOPIO OPTICO CONFOCAL OLYMPUS,xxxxx
2017-08-10,14:00 ~ 16:00,MEV MAGELLAN,xxxxx
2017-08-10,16:00 ~ 18:00,MEV MAGELLAN,xxxxx
2017-08-10,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2017-08-10,14:00 ~ 16:00,MET TECNAI G2F20,xxxxx
2017-08-10,08:00 ~ 10:00,MEV INSPECT EBSD,xxxxx
2017-08-10,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2017-08-10,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2017-08-11,14:00 ~ 16:00,MEV MAGELLAN,xxxxx
2017-08-11,16:00 ~ 18:00,MEV MAGELLAN,xxxxx
2017-08-11,08:00 ~ 10:00,MEV MAGELLAN,xxxxx
2017-08-11,10:00 ~ 12:00,MEV MAGELLAN,xxxxx
2017-08-11,14:00 ~ 16:00,MET TECNAI G2F20,xxxxx
2017-08-11,16:00 ~ 18:00,MET TECNAI G2F20,xxxxx
2017-08-11,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2017-08-11,12:00 ~ 14:00,MEV XL30 FEG,xxxxx
2017-08-11,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2017-08-11,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2017-08-11,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2017-08-11,08:00 ~ 10:00,MEV INSPECT EBSD,xxxxx
2017-08-11,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2017-08-11,14:00 ~ 16:00,MET CM120,xxxxx
2017-08-11,16:00 ~ 18:00,MET CM120,xxxxx
2017-08-14,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2017-08-16,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2017-08-16,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2017-08-16,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2017-08-16,16:00 ~ 18:00,MEV MAGELLAN,xxxxx
2017-08-16,14:00 ~ 16:00,MEV MAGELLAN,xxxxx
2017-08-16,08:00 ~ 10:00,MEV INSPECT EBSD,xxxxx
2017-08-16,14:00 ~ 16:00,MET TECNAI G2F20,xxxxx
2017-08-16,16:00 ~ 18:00,MET TECNAI G2F20,xxxxx
2017-08-16,08:00 ~ 10:00,MET TECNAI G2F20,xxxxx
2017-08-16,10:00 ~ 12:00,MET TECNAI G2F20,xxxxx
2017-08-16,12:00 ~ 14:00,MET TECNAI G2F20,xxxxx
2017-08-17,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2017-08-17,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2017-08-17,14:00 ~ 16:00,MET TECNAI G2F20,xxxxx
2017-08-17,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2017-08-17,16:00 ~ 18:00,MEV MAGELLAN,xxxxx
2017-08-17,12:00 ~ 14:00,MET TECNAI G2F20,xxxxx
2017-08-17,10:00 ~ 12:00,MET TECNAI G2F20,xxxxx
2017-08-17,08:00 ~ 10:00,MET TECNAI G2F20,xxxxx
2017-08-17,16:00 ~ 18:00,MET TECNAI G2F20,xxxxx
2017-08-17,10:00 ~ 12:00,MICROSCOPIO OPTICO CONFOCAL OLYMPUS,xxxxx
2017-08-17,16:00 ~ 18:00,MEV XL30 FEG,xxxxx
2017-08-17,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2017-08-17,08:00 ~ 10:00,MEV XL30 FEG,xxxxx
2017-08-17,12:00 ~ 14:00,MEV XL30 FEG,xxxxx
2017-08-17,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2017-08-18,08:00 ~ 10:00,MET TECNAI G2F20,xxxxx
2017-08-18,10:00 ~ 12:00,MET TECNAI G2F20,xxxxx
2017-08-18,14:00 ~ 16:00,MEV MAGELLAN,xxxxx
2017-08-18,16:00 ~ 18:00,MEV MAGELLAN,xxxxx
2017-08-18,08:00 ~ 10:00,MEV MAGELLAN,xxxxx
2017-08-18,10:00 ~ 12:00,MEV MAGELLAN,xxxxx
2017-08-18,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2017-08-18,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2017-08-18,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2017-08-18,08:00 ~ 10:00,MEV INSPECT EBSD,xxxxx
2017-08-18,16:00 ~ 18:00,MET TECNAI G2F20,xxxxx
2017-08-18,12:00 ~ 14:00,MET TECNAI G2F20,xxxxx
2017-08-18,08:00 ~ 10:00,MEV XL30 FEG,xxxxx
2017-08-18,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2017-08-18,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2017-08-18,16:00 ~ 18:00,MEV XL30 FEG,xxxxx
2017-08-18,12:00 ~ 14:00,MEV XL30 FEG,xxxxx
2017-08-18,14:00 ~ 16:00,MET TECNAI G2F20,xxxxx
2017-08-18,16:00 ~ 18:00,MET TECNAI LaB6 - ASTAR,xxxxx
2017-08-21,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2017-08-21,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2017-08-21,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2017-08-21,08:00 ~ 10:00,MET TECNAI G2F20,xxxxx
2017-08-21,10:00 ~ 12:00,MET TECNAI G2F20,xxxxx
2017-08-21,14:00 ~ 16:00,MET TECNAI G2F20,xxxxx
2017-08-21,16:00 ~ 18:00,MET TECNAI G2F20,xxxxx
2017-08-21,08:00 ~ 10:00,MEV XL30 FEG,xxxxx
2017-08-21,14:00 ~ 16:00,MET CM120,xxxxx
2017-08-21,16:00 ~ 18:00,MET CM120,xxxxx
2017-08-21,08:00 ~ 10:00,MEV INSPECT EBSD,xxxxx
2017-08-22,08:00 ~ 10:00,MEV MAGELLAN,xxxxx
2017-08-22,10:00 ~ 12:00,MEV MAGELLAN,xxxxx
2017-08-22,08:00 ~ 10:00,MEV INSPECT EBSD,xxxxx
2017-08-22,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2017-08-22,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2017-08-22,16:00 ~ 18:00,MEV XL30 FEG,xxxxx
2017-08-22,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2017-08-22,14:00 ~ 16:00,MET TECNAI G2F20,xxxxx
2017-08-22,16:00 ~ 18:00,MET TECNAI G2F20,xxxxx
2017-08-22,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2017-08-22,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2017-08-23,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2017-08-23,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2017-08-23,08:00 ~ 10:00,MET TECNAI G2F20,xxxxx
2017-08-23,10:00 ~ 12:00,MET TECNAI G2F20,xxxxx
2017-08-23,08:00 ~ 10:00,MEV INSPECT EBSD,xxxxx
2017-08-23,14:00 ~ 16:00,MET TECNAI G2F20,xxxxx
2017-08-23,12:00 ~ 14:00,MEV XL30 FEG,xxxxx
2017-08-23,08:00 ~ 10:00,MEV XL30 FEG,xxxxx
2017-08-23,16:00 ~ 18:00,MEV XL30 FEG,xxxxx
2017-08-23,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2017-08-24,14:00 ~ 16:00,MEV MAGELLAN,xxxxx
2017-08-24,16:00 ~ 18:00,MEV MAGELLAN,xxxxx
2017-08-24,08:00 ~ 10:00,MET TECNAI G2F20,xxxxx
2017-08-24,10:00 ~ 12:00,MET TECNAI G2F20,xxxxx
2017-08-24,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2017-08-24,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2017-08-24,14:00 ~ 16:00,MET TECNAI G2F20,xxxxx
2017-08-24,16:00 ~ 18:00,MET TECNAI G2F20,xxxxx
2017-08-24,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2017-08-24,08:00 ~ 10:00,MEV XL30 FEG,xxxxx
2017-08-24,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2017-08-25,14:00 ~ 16:00,MEV MAGELLAN,xxxxx
2017-08-25,16:00 ~ 18:00,MEV MAGELLAN,xxxxx
2017-08-25,08:00 ~ 10:00,MEV MAGELLAN,xxxxx
2017-08-25,10:00 ~ 12:00,MEV MAGELLAN,xxxxx
2017-08-25,08:00 ~ 10:00,MET TECNAI G2F20,xxxxx
2017-08-25,10:00 ~ 12:00,MET TECNAI G2F20,xxxxx
2017-08-25,08:00 ~ 10:00,MEV INSPECT EBSD,xxxxx
2017-08-25,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2017-08-25,08:00 ~ 10:00,MEV XL30 FEG,xxxxx
2017-08-25,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2017-08-25,08:00 ~ 10:00,MET CM120,xxxxx
2017-08-25,10:00 ~ 12:00,MET CM120,xxxxx
2017-08-25,14:00 ~ 16:00,MET CM120,xxxxx
2017-08-28,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2017-08-28,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2017-08-28,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2017-08-28,08:00 ~ 10:00,MEV INSPECT EBSD,xxxxx
2017-08-28,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2017-08-29,08:00 ~ 10:00,MEV MAGELLAN,xxxxx
2017-08-29,10:00 ~ 12:00,MEV MAGELLAN,xxxxx
2017-08-29,14:00 ~ 16:00,MET TECNAI G2F20,xxxxx
2017-08-29,16:00 ~ 18:00,MET TECNAI G2F20,xxxxx
2017-08-29,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2017-08-29,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2017-08-29,08:00 ~ 10:00,MET TECNAI G2F20,xxxxx
2017-08-29,10:00 ~ 12:00,MET TECNAI G2F20,xxxxx
2017-08-29,08:00 ~ 10:00,MEV INSPECT EBSD,xxxxx
2017-08-29,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2017-08-29,14:00 ~ 16:00,MEV XL30 TMP,xxxxx
2017-08-30,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2017-08-30,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2017-08-30,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2017-08-30,16:00 ~ 18:00,MEV XL30 FEG,xxxxx
2017-08-30,14:00 ~ 16:00,MET TECNAI G2F20,xxxxx
2017-08-30,16:00 ~ 18:00,MET TECNAI G2F20,xxxxx
2017-08-30,08:00 ~ 10:00,MET TECNAI G2F20,xxxxx
2017-08-30,10:00 ~ 12:00,MET TECNAI G2F20,xxxxx
2017-08-31,14:00 ~ 16:00,MEV MAGELLAN,xxxxx
2017-08-31,16:00 ~ 18:00,MEV MAGELLAN,xxxxx
2017-08-31,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2017-08-31,14:00 ~ 16:00,MET TECNAI G2F20,xxxxx
2017-08-31,16:00 ~ 18:00,MET TECNAI G2F20,xxxxx
2017-08-31,08:00 ~ 10:00,MET TECNAI G2F20,xxxxx
2017-08-31,10:00 ~ 12:00,MET TECNAI G2F20,xxxxx
2017-08-31,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2017-08-31,12:00 ~ 14:00,MEV XL30 FEG,xxxxx
2017-08-31,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2017-08-31,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2017-08-31,16:00 ~ 18:00,MEV XL30 FEG,xxxxx
2017-08-31,14:00 ~ 16:00,MET CM120,xxxxx
2017-08-31,16:00 ~ 18:00,MET CM120,xxxxx
2017-08-31,08:00 ~ 10:00,MEV XL30 FEG,xxxxx
2017-09-01,14:00 ~ 16:00,MEV MAGELLAN,xxxxx
2017-09-01,16:00 ~ 18:00,MEV MAGELLAN,xxxxx
2017-09-01,10:00 ~ 12:00,MEV MAGELLAN,xxxxx
2017-09-01,08:00 ~ 10:00,MEV MAGELLAN,xxxxx
2017-09-01,14:00 ~ 16:00,MET TECNAI G2F20,xxxxx
2017-09-01,16:00 ~ 18:00,MET TECNAI G2F20,xxxxx
2017-09-01,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2017-09-01,12:00 ~ 14:00,MET TECNAI LaB6 - ASTAR,xxxxx
2017-09-01,08:00 ~ 10:00,MEV INSPECT EBSD,xxxxx
2017-09-01,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2017-09-01,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2017-09-01,16:00 ~ 18:00,MEV XL30 FEG,xxxxx
2017-09-01,08:00 ~ 10:00,MET TECNAI G2F20,xxxxx
2017-09-01,10:00 ~ 12:00,MET TECNAI G2F20,xxxxx
2017-09-01,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2017-09-01,12:00 ~ 14:00,MEV INSPECT EBSD,xxxxx
2017-09-01,18:00 ~ 20:00,MEV INSPECT EBSD,xxxxx
2017-09-01,14:00 ~ 16:00,MICROSCOPIO OPTICO CONFOCAL OLYMPUS,xxxxx
2017-09-01,16:00 ~ 18:00,MICROSCOPIO OPTICO CONFOCAL OLYMPUS,xxxxx
2017-09-04,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2017-09-04,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2017-09-04,08:00 ~ 10:00,MET TECNAI G2F20,xxxxx
2017-09-04,10:00 ~ 12:00,MET TECNAI G2F20,xxxxx
2017-09-04,14:00 ~ 16:00,MET CM120,xxxxx
2017-09-04,08:00 ~ 10:00,MEV INSPECT EBSD,xxxxx
2017-09-05,08:00 ~ 10:00,MEV MAGELLAN,xxxxx
2017-09-05,10:00 ~ 12:00,MEV MAGELLAN,xxxxx
2017-09-05,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2017-09-05,16:00 ~ 18:00,MEV XL30 FEG,xxxxx
2017-09-05,08:00 ~ 10:00,MET TECNAI G2F20,xxxxx
2017-09-05,10:00 ~ 12:00,MET TECNAI G2F20,xxxxx
2017-09-05,14:00 ~ 16:00,MET TECNAI G2F20,xxxxx
2017-09-05,16:00 ~ 18:00,MET TECNAI G2F20,xxxxx
2017-09-05,08:00 ~ 10:00,MEV INSPECT EBSD,xxxxx
2017-09-05,08:00 ~ 10:00,MEV XL30 FEG,xxxxx
2017-09-05,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2017-09-05,14:00 ~ 16:00,FLUORESCÊNCIA RX,xxxxx
2017-09-05,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2017-09-06,08:00 ~ 10:00,MET TECNAI G2F20,xxxxx
2017-09-06,14:00 ~ 16:00,MET TECNAI G2F20,xxxxx
2017-09-06,16:00 ~ 18:00,MET TECNAI G2F20,xxxxx
2017-09-06,10:00 ~ 12:00,MET TECNAI G2F20,xxxxx
2017-09-06,16:00 ~ 18:00,MEV XL30 FEG,xxxxx
2017-09-06,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2017-09-06,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2017-09-07,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2017-09-07,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2017-09-11,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2017-09-11,08:00 ~ 10:00,MET TECNAI G2F20,xxxxx
2017-09-11,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2017-09-11,14:00 ~ 16:00,MET CM120,xxxxx
2017-09-12,08:00 ~ 10:00,MEV MAGELLAN,xxxxx
2017-09-12,10:00 ~ 12:00,MEV MAGELLAN,xxxxx
2017-09-12,08:00 ~ 10:00,MET TECNAI G2F20,xxxxx
2017-09-12,10:00 ~ 12:00,MET TECNAI G2F20,xxxxx
2017-09-12,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2017-09-12,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2017-09-12,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2017-09-12,14:00 ~ 16:00,MET CM120,xxxxx
2017-09-12,16:00 ~ 18:00,MET TECNAI G2F20,xxxxx
2017-09-12,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2017-09-12,16:00 ~ 18:00,MEV XL30 FEG,xxxxx
2017-09-12,14:00 ~ 16:00,MET TECNAI G2F20,xxxxx
2017-09-12,08:00 ~ 10:00,MEV INSPECT EBSD,xxxxx
2017-09-12,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2017-09-13,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2017-09-13,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2017-09-13,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2017-09-13,16:00 ~ 18:00,MEV XL30 FEG,xxxxx
2017-09-13,08:00 ~ 10:00,MEV INSPECT EBSD,xxxxx
2017-09-13,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2017-09-13,14:00 ~ 16:00,MET TECNAI G2F20,xxxxx
2017-09-13,12:00 ~ 14:00,MEV MAGELLAN,xxxxx
2017-09-13,18:00 ~ 20:00,MEV MAGELLAN,xxxxx
2017-09-14,14:00 ~ 16:00,MEV MAGELLAN,xxxxx
2017-09-14,16:00 ~ 18:00,MEV MAGELLAN,xxxxx
2017-09-14,08:00 ~ 10:00,MEV INSPECT EBSD,xxxxx
2017-09-14,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2017-09-14,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2017-09-14,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2017-09-14,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2017-09-14,08:00 ~ 10:00,MICROSCOPIO OPTICO CONFOCAL OLYMPUS,xxxxx
2017-09-14,08:00 ~ 10:00,MET TECNAI G2F20,xxxxx
2017-09-14,10:00 ~ 12:00,MET TECNAI G2F20,xxxxx
2017-09-14,14:00 ~ 16:00,MET TECNAI G2F20,xxxxx
2017-09-14,16:00 ~ 18:00,MET TECNAI G2F20,xxxxx
2017-09-14,10:00 ~ 12:00,FLUORESCÊNCIA RX,xxxxx
2017-09-14,14:00 ~ 16:00,FLUORESCÊNCIA RX,xxxxx
2017-09-14,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2017-09-15,14:00 ~ 16:00,MEV MAGELLAN,xxxxx
2017-09-15,16:00 ~ 18:00,MEV MAGELLAN,xxxxx
2017-09-15,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2017-09-15,08:00 ~ 10:00,MEV INSPECT EBSD,xxxxx
2017-09-15,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2017-09-15,08:00 ~ 10:00,MET TECNAI G2F20,xxxxx
2017-09-15,14:00 ~ 16:00,MET TECNAI G2F20,xxxxx
2017-09-15,16:00 ~ 18:00,MET TECNAI G2F20,xxxxx
2017-09-15,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2017-09-15,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
